Price Date,Close Price
17-02-2017,1000.1
16-02-2017,1012.1
15-02-2017,981.8
14-02-2017,987.7
13-02-2017,984.35
10-02-2017,968.3
09-02-2017,946
08-02-2017,936.5
07-02-2017,942.25
06-02-2017,935.25
03-02-2017,936.1
02-02-2017,935.9
01-02-2017,916.75
31-01-2017,928.6
30-01-2017,949.35
27-01-2017,942.15
25-01-2017,936.6
24-01-2017,945.55
23-01-2017,952.7
20-01-2017,948.7
19-01-2017,958.1
18-01-2017,950.8
17-01-2017,955.4
16-01-2017,955.65
13-01-2017,975.8
12-01-2017,1000.05
11-01-2017,969.1
10-01-2017,970.55
09-01-2017,970.35
06-01-2017,972.25
05-01-2017,996.15
04-01-2017,997.75
03-01-2017,993.85
02-01-2017,1001.1
30-12-2016,1010.6
29-12-2016,992.35
28-12-2016,998.5
27-12-2016,998.95
26-12-2016,982.75
23-12-2016,988.45
22-12-2016,984.7
21-12-2016,1001.55
20-12-2016,1012.15
19-12-2016,1004.65
16-12-2016,1005.15
15-12-2016,992.35
14-12-2016,999.75
13-12-2016,990.2
12-12-2016,977.35
09-12-2016,989.35
08-12-2016,984.65
07-12-2016,966.4
06-12-2016,966.5
05-12-2016,961.65
02-12-2016,964.5
01-12-2016,975.6
30-11-2016,975.55
29-11-2016,972.6
28-11-2016,979.75
25-11-2016,977.5
24-11-2016,930.3
23-11-2016,920.25
22-11-2016,914.2
21-11-2016,911.1
18-11-2016,920
17-11-2016,929.8
16-11-2016,940.9
15-11-2016,923.55
11-11-2016,921.55
10-11-2016,939.4
09-11-2016,958.3
08-11-2016,982.6
07-11-2016,977.95
04-11-2016,971
03-11-2016,966.85
02-11-2016,981.05
01-11-2016,989.45
30-10-2016,1002.1
28-10-2016,997.5
27-10-2016,1003.5
26-10-2016,1014.2
25-10-2016,1017.2
24-10-2016,1027.1
21-10-2016,1038.3
20-10-2016,1036.65
19-10-2016,1041.8
18-10-2016,1039.05
17-10-2016,1022.4
14-10-2016,1027.15
13-10-2016,1052.35
10-10-2016,1029.95
07-10-2016,1012.55
06-10-2016,1027.4
05-10-2016,1041.5
04-10-2016,1049.2
03-10-2016,1038.1
30-09-2016,1036.05
29-09-2016,1029.2
28-09-2016,1038.95
27-09-2016,1039.75
26-09-2016,1035.9
23-09-2016,1042.55
22-09-2016,1058.8
21-09-2016,1055.75
20-09-2016,1050.15
19-09-2016,1061.2
16-09-2016,1060.15
15-09-2016,1042.2
14-09-2016,1045.6
12-09-2016,1054
09-09-2016,1035.5
08-09-2016,1037.65
07-09-2016,1054.35
06-09-2016,1045
02-09-2016,1031.85
01-09-2016,1037.55
31-08-2016,1035.85
30-08-2016,1040.4
29-08-2016,1022.8
26-08-2016,1020.25
25-08-2016,1036.15
24-08-2016,1057.4
23-08-2016,1039.65
22-08-2016,1015.45
19-08-2016,1021.3
18-08-2016,1023.4
17-08-2016,1033.3
16-08-2016,1051.8
12-08-2016,1062.55
11-08-2016,1077.35
10-08-2016,1082.35
09-08-2016,1083.4
08-08-2016,1078.7
05-08-2016,1068
04-08-2016,1071.8
03-08-2016,1084.9
02-08-2016,1083.8
01-08-2016,1085.25
29-07-2016,1073.85
28-07-2016,1077.5
27-07-2016,1085.35
26-07-2016,1088.7
25-07-2016,1080.85
22-07-2016,1072.45
21-07-2016,1079.9
20-07-2016,1083.1
19-07-2016,1086.95
18-07-2016,1081.95
15-07-2016,1072.55
14-07-2016,1176.25
13-07-2016,1193.8
12-07-2016,1176.55
11-07-2016,1175.05
08-07-2016,1158.2
07-07-2016,1157.25
05-07-2016,1175.45
04-07-2016,1183.95
01-07-2016,1172.4
30-06-2016,1170.8
29-06-2016,1176.85
28-06-2016,1159.15
27-06-2016,1166.2
24-06-2016,1194.55
23-06-2016,1211.6
22-06-2016,1199.5
21-06-2016,1206.1
20-06-2016,1208.75
17-06-2016,1179.5
16-06-2016,1186
15-06-2016,1189.95
14-06-2016,1175
13-06-2016,1180.9
10-06-2016,1180.6
09-06-2016,1185.5
08-06-2016,1238.1
07-06-2016,1257.4
06-06-2016,1266.75
03-06-2016,1266.9
02-06-2016,1261.55
01-06-2016,1258.2
31-05-2016,1248.65
30-05-2016,1267.6
27-05-2016,1247.5
26-05-2016,1234.15
25-05-2016,1208.65
24-05-2016,1187.75
23-05-2016,1188
20-05-2016,1201.6
19-05-2016,1205.75
18-05-2016,1209.85
17-05-2016,1214.25
16-05-2016,1215
13-05-2016,1207.25
12-05-2016,1210
11-05-2016,1201.85
10-05-2016,1212.8
09-05-2016,1199.05
06-05-2016,1181.5
05-05-2016,1192.45
04-05-2016,1188.85
03-05-2016,1177.8
02-05-2016,1201.05
29-04-2016,1208.1
28-04-2016,1209.15
27-04-2016,1240.15
26-04-2016,1232.15
25-04-2016,1215.85
22-04-2016,1211.25
21-04-2016,1226.3
20-04-2016,1243.6
18-04-2016,1238.7
13-04-2016,1172.7
12-04-2016,1182.2
11-04-2016,1183.9
08-04-2016,1165.75
07-04-2016,1181.5
06-04-2016,1200.7
05-04-2016,1219.8
04-04-2016,1243.7
01-04-2016,1205.45
31-03-2016,1218.3
30-03-2016,1205.95
29-03-2016,1197.25
28-03-2016,1204.9
23-03-2016,1207.8
22-03-2016,1189.95
21-03-2016,1194.9
18-03-2016,1193.4
17-03-2016,1161.75
16-03-2016,1152.45
15-03-2016,1134.4
14-03-2016,1141.2
11-03-2016,1143
10-03-2016,1142.5
09-03-2016,1178.5
08-03-2016,1163.45
04-03-2016,1170.65
03-03-2016,1169.3
02-03-2016,1156
01-03-2016,1125.45
29-02-2016,1084.05
26-02-2016,1121.15
25-02-2016,1110.3
24-02-2016,1125.35
23-02-2016,1123.9
22-02-2016,1126.65
19-02-2016,1127.25
18-02-2016,1123.4
17-02-2016,1097.85
16-02-2016,1079.15
15-02-2016,1091.75
12-02-2016,1084.65
11-02-2016,1078.65
10-02-2016,1108.55
09-02-2016,1107.65
08-02-2016,1150.8
05-02-2016,1174.7
04-02-2016,1179.75
03-02-2016,1157.7
02-02-2016,1175.55
01-02-2016,1173.35
29-01-2016,1164.9
28-01-2016,1129.6
27-01-2016,1138.5
25-01-2016,1137.65
22-01-2016,1136.25
21-01-2016,1137.05
20-01-2016,1121.25
19-01-2016,1139.65
18-01-2016,1131.9
15-01-2016,1139.9
14-01-2016,1133
